3	-15.2	-13.3	-19
2.3	-16	-11.5	-17.4
6.2	-16	-10.6	-16.3
8	-15.8	-9	-15.8
7	-15	-8	-15.2
7.5	-15	-8.2	-14.8
6	-15	-9.6	-13.8
4.8	-15.2	-9.4	-11.6
3.5	-15	-6.4	-11.4
5.7	14.8	-1.2	-6.1
12.6	-14.4	2.6	-2.9
19.4	-13.2	6.3	1.4
22.5	-11.6	9.4	2
24.2	-10.4	10.1	2
24	-10	6.8	0.6
21.8	-10.1	1	-3.5
16.1	-11.1	-5.2	-9.2
11.6	-12.7	-9.5	-11.8
7.1	-14.3	-12.3	-16.6
3	-16	-16.4	-20.4
-0.4	-17.3	-20.2	-24.3
-4	-37.2	-24.2	-27.9
-7.7	-20.8	-26.5	-29
-10.2	-22.3	-27	-31.2
-12.2	-23.5	-28.2	-32.2
-13.3	-24.6	-29.5	-33.3
-15.4	-25.6	-30.9	-33.7
-17.7	-26.8	-31.5	-34.9
-19.2	-27.7	-32.9	-36.9
-20	-28.8	-35.2	-38
-21	-29.8	-36	-37.5
-23.5	-30.7	-32.9	-34.6
-23.8	-31	-28.8	-31.4
-18.9	-30.9	-24.8	-27.2
-12.6	-30	-20.2	-23.4
-7.3	-28.6	-14.6	-18.2
-2.8	-27.2	-10.6	-15.3
1.4	-25.9	-8.8	-12.4
3.5	-25	-6.8	-9.3
2.7	-24.1	-4.1	-8
5	-23.6	-4.1	-8.4
7.5	-23	-7.3	-12.6
5.5	-23	-12.8	-17.1
1.8	-24.4	-18.9	-20.6
-2.9	-25.8	-21.9	-22.7
-7.2	-27	-21	-23
-10.5	-27.7	-20	-23
-11	-28	-19.6	-23.5
-9.8	-28	-21.6	-25.4
-10.2	-28.3	-23.6	-27
-12.5	-29	-25.1	-28.4
-14.9	-29.1	-26.9	-30.7
-16.5	-30	-29.2	-32.2
-19.2	-30.4	-32.2	-35.1
-22	-31	-35	-37.3
-24.7	-31.8	-37	-38.7
-27.4	-32	-37.7	-38.1
-30	-33	-33.4	-35.4
-30	-32.2	-31.4	-33.1
-24.9	-31.6	-28.4	-29.9
-20.4	-30.6	-24.4	-24.6
-16.3	-28.6	-18.1	-19.5
-11.6	-40.6	-13.1	-13.3
-8.1	-23.9	-6.2	-5
-3.9	-21.1	-0.9	-1
3	-18.5	4.1	0.5
11.3	-16.4	3.6	-1.9
15	-14.9	0	-7
11.4	-14	-6.8	-10.3
