FC_N,T_BSM-WOWC-HIRLAM,H_BSM-WOWC-HIRLAM,L_BSM-WOWC-HIRLAM,R_BSM-WOWC-HIRLAM,T_BALTP-90M-GFS,H_BALTP-90M-GFS,L_BALTP-90M-GFS,R_BALTP-90M-GFS,T_HIROMB,H_HIROMB,L_HIROMB,R_HIROMB,T_M,H_M,L_M,R_M
28,48,217,12,10,43,145.5672,7,5,48,182.4,12,12,48,180.9,11,4
29,42,226,12,5,37,107.1768,8,3,42,184.4,11,12,42,180.9,11,4
30,36,228,11,5,34,140.7688,10,19,37,173.1,12,12,36,180.9,11,4
31,30,193,12,6,28,155.316,10,20,31,146.9,12,6,30,180.9,11,4
32,25,244,12,4,23,147.1568,11,18,24,175.9,11,13,24,180.9,11,4
33,18,214,12,5,17,119.7072,11,18,17,170.1,10,13,18,180.9,11,4
34,12,193,11,12,11,110.1576,11,18,11,162.9,10,13,12,180.9,11,4
35,6,203,3,4,5,121.6784,5,17,5,160.7,5,13,6,180.9,6,4
36,0,185,NaN,4,0,139.0704,NaN,15,0,160.5,NaN,12,0,180.9,NaN,10
37,11,60,5,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,60.6,8,11
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,60.9,8,2,56,54.6,11,4
38,5,56,5,13,NaN,NaN,NaN,NaN,6,52.3,6,12,6,60.6,6,11
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,60.5,16,9,50,54.6,11,6
39,0,60,NaN,12,5,50.0168,5,17,NaN,NaN,NaN,NaN,0,60.6,NaN,11
39,NaN,NaN,NaN,NaN,45,63.9168,14,14,44,58.9,14,15,44,54.6,11,6
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39,56.2,12,16,38,54.6,11,6
41,59,87,9,1,NaN,NaN,NaN,NaN,57,63,9,3,58,54.7,9,2
42,53,74,15,7,NaN,NaN,NaN,NaN,51,61.7,8,9,52,54.7,9,5
43,47,80,9,13,NaN,NaN,NaN,NaN,46,73.5,8,14,46,54.7,9,5
44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,52.9,9,18,40,54.7,9,5
45,35,56,10,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,54.7,9,5
46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,54.7,9,5
47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,54.7,9,5
48,16,55,8,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,54.7,9,5
49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,54.7,9,12
50,4,55,4,15,NaN,NaN,NaN,NaN,4,52.3,4,16,4,54.7,4,12
51,60,84,18,NaN,59,63.128,17,1,60,92.2,18,NaN,60,73.8,18,NaN
52,56,176,20,4,53,57.664,17,7,55,160.7,19,5,55,76.2,19,5
53,52,113,21,8,47,70.6912,16,12,49,145.7,20,11,49,76.2,19,11
54,47,69,16,12,42,73.592,18,13,44,64.4,14,13,43,76.2,19,11
55,NaN,NaN,NaN,NaN,56,80.1416,9,3,60,71.9,10,NaN,60,86,12,NaN
56,55,96,12,5,NaN,NaN,NaN,NaN,56,85.9,11,4,55,86,13,2
57,48,69,12,12,44,94.6168,8,15,49,90,11,11,49,86,13,2
58,45,101,13,12,NaN,NaN,NaN,NaN,43,71.7,11,13,43,86,13,2
59,37,87,13,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,86,13,2
60,31,88,12,4,31,84.8992,12,19,NaN,NaN,NaN,NaN,31,86,13,2
61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,86,13,2
61,54,51,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,59.3,16,5
62,19,83,13,15,20,73.144,13,13,19,64,12,17,19,86,13,2
62,53,50,19,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,59.3,16,11
63,12,90,12,16,13,76.6768,12,14,12,70.4,11,17,13,86,13,2
63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,59.3,16,13
64,6,98,6,4,7,77.1064,7,19,6,71.3,6,14,7,86,7,2
64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,59.3,16,13
65,0,92,NaN,16,1,82.1904,1,19,0,71.3,NaN,18,1,86,1,2
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,59.3,16,13
66,0,74,NaN,10,0,71.9144,NaN,14,0,53.9,NaN,11,0,77.3,NaN,9
66,58,68,4,2,60,60.1144,7,NaN,60,58.5,5,NaN,60,62.8,4,NaN
67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,59.3,16,13
67,52,90,20,3,58,86.1448,20,2,57,75.6,20,3,58,66,2,2
