FC_N,T_BSM-WOWC-HIRLAM,H_BSM-WOWC-HIRLAM,L_BSM-WOWC-HIRLAM,R_BSM-WOWC-HIRLAM,T_BALTP-90M-GFS,H_BALTP-90M-GFS,L_BALTP-90M-GFS,R_BALTP-90M-GFS,T_HIROMB,H_HIROMB,L_HIROMB,R_HIROMB,T_M,H_M,L_M,R_M
28,48,217,12,10,43,145.5672,7,5,48,182.4,12,12,48,180.9,11,4
29,42,226,12,5,37,107.1768,8,3,42,184.4,11,12,42,180.9,11,4
30,36,228,11,15,34,140.7688,10,19,37,173.1,12,12,36,180.9,11,4
31,30,193,12,6,28,155.316,10,20,31,146.9,12,6,30,180.9,11,4
32,25,244,12,4,23,147.1568,11,18,24,175.9,11,13,24,180.9,11,4
33,18,214,12,5,17,119.7072,11,18,17,170.1,10,13,18,180.9,11,4
34,12,193,11,12,11,110.1576,11,18,11,162.9,10,13,12,180.9,11,4
35,6,203,3,4,5,121.6784,5,17,5,160.7,5,13,6,180.9,6,4
36,0,185,NaN,4,0,139.0704,NaN,15,0,160.5,NaN,12,0,180.9,NaN,10
51,60,84,18,NaN,NaN,NaN,NaN,NaN,60,92.2,18,NaN,60,73.8,18,NaN
52,56,176,20,4,NaN,NaN,NaN,NaN,55,160.7,19,5,55,76.2,19,5
53,52,113,21,8,47,70.6912,16,12,49,145.7,20,11,49,76.2,19,11
54,NaN,NaN,NaN,NaN,42,73.592,18,13,NaN,NaN,NaN,NaN,43,76.2,19,11
55,NaN,NaN,NaN,NaN,56,80.1416,9,3,60,71.9,10,NaN,60,86,12,NaN
56,55,96,12,5,NaN,NaN,NaN,NaN,56,85.9,11,4,55,86,13,2
57,NaN,NaN,NaN,NaN,44,94.6168,8,15,49,90,11,11,49,86,13,2
58,45,101,13,12,NaN,NaN,NaN,NaN,43,71.7,11,13,43,86,13,2
59,37,87,13,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,86,13,2
60,31,88,12,4,31,84.8992,12,19,NaN,NaN,NaN,NaN,31,86,13,2
61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,86,13,2
62,19,83,13,15,20,73.144,13,13,NaN,NaN,NaN,NaN,19,86,13,2
63,12,90,12,16,13,76.6768,12,14,12,70.4,11,17,13,86,13,2
64,6,98,6,17,7,77.1064,7,19,6,71.3,6,14,7,86,7,2
65,0,92,NaN,16,1,82.1904,1,19,0,71.3,NaN,18,1,86,1,2
66,0,74,NaN,10,0,71.9144,NaN,14,NaN,NaN,NaN,NaN,0,77.3,NaN,9
73,58,101,8,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,110,9,NaN
74,58,115,13,2,60,97.1976,12,NaN,58,90.4,12,2,55,112.8,10,5
75,53,141,4,7,54,113.8344,15,6,54,107.2,16,6,49,112.8,10,11
76,44,125,10,16,50,108.3088,17,10,44,94.9,11,16,43,112.8,10,16
77,40,127,13,7,42,142.6064,15,14,40,100.3,14,13,37,112.8,10,16
78,34,120,3,4,36,138.0032,15,14,32,90.2,10,16,31,112.8,10,16
79,25,125,9,14,30,123.0736,15,13,25,86.3,10,16,25,112.8,10,16
80,20,120,11,15,24,121.7992,15,13,19,89.8,10,14,19,112.8,10,16
81,14,124,11,15,18,114.8096,15,13,13,91.8,10,16,13,112.8,10,16
82,9,122,9,14,12,120.6408,12,13,10,93.8,10,13,7,112.8,7,16
83,4,124,4,13,6,123.5064,6,13,4,97.6,4,14,1,112.8,1,16
83,NaN,NaN,NaN,NaN,60,72.7064,16,NaN,NaN,NaN,NaN,NaN,60,81.5,3,NaN
84,0,92,NaN,11,0,108.3304,NaN,13,0,91.2,NaN,11,0,98.2,NaN,11
84,54,73,18,6,60,72.0304,22,NaN,NaN,NaN,NaN,NaN,56,83.5,5,1
85,47,80,17,12,NaN,NaN,NaN,NaN,53,70.5,23,7,50,83.5,20,1
86,40,82,17,13,46,78.104,20,11,NaN,NaN,NaN,NaN,44,83.5,20,1
87,39,76,22,5,41,84.9304,22,17,NaN,NaN,NaN,NaN,38,83.5,20,1
88,30,79,19,15,34,90.8544,21,19,32,73.3,17,12,32,83.5,20,1
89,26,86,21,10,27,88.5624,20,11,26,73.5,21,15,26,83.5,20,1
90,20,85,19,11,21,101.0088,20,12,21,73.6,18,6,20,83.5,20,1
91,10,86,10,14,15,107.9032,15,12,15,77.6,15,11,14,83.5,14,1
92,10,92,10,10,8,103.6152,8,12,9,79.4,9,14,8,83.5,8,1
93,4,87,3,13,2,97.5408,2,12,3,79.5,3,11,2,83.5,2,13
94,0,72,NaN,8,0,83.6248,NaN,8,NaN,NaN,NaN,NaN,0,77.8,NaN,9
95,14,71,13,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,74.2,13,15
96,9,71,9,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,74.2,10,15
96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,92,10,NaN
97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,74.2,4,15
