nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,48,217,7,3,43,145.567,3,3,48,182.4,6,4,48,180.9,5,2
29,42,226,8,3,nan,nan,nan,nan,42,184.4,6,4,42,180.9,5,2
30,36,228,7,3,34,140.769,3,2,37,173.1,6,4,36,180.9,5,2
31,30,193,7,3,28,155.316,3,4,31,146.9,7,2,30,180.9,5,2
32,25,244,8,2,23,147.157,4,4,24,175.9,6,3,24,180.9,5,2
33,18,214,7,3,17,119.707,2,2,17,170.1,5,3,18,180.9,5,2
34,12,193,7,2,11,110.158,1,1,11,162.9,5,3,12,180.9,5,2
35,6,203,5,2,5,121.678,3,3,5,160.7,5,3,6,180.9,5,2
36,0,185,nan,2,0,139.07,nan,3,0,160.5,nan,2,0,180.9,nan,2
73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60,110,0,0
74,58,115,1,1,nan,nan,nan,nan,nan,nan,nan,nan,55,112.8,1,2
75,53,141,3,4,54,113.834,2,2,nan,nan,nan,nan,49,112.8,1,2
76,44,125,2,4,nan,nan,nan,nan,nan,nan,nan,nan,43,112.8,1,2
77,40,127,7,3,42,142.606,5,4,nan,nan,nan,nan,37,112.8,1,2
78,34,120,2,2,36,138.003,5,4,nan,nan,nan,nan,31,112.8,1,2
79,25,125,3,3,30,123.074,4,3,nan,nan,nan,nan,25,112.8,1,2
80,20,120,4,2,24,121.799,5,2,nan,nan,nan,nan,19,112.8,1,2
81,14,124,3,2,18,114.81,4,2,nan,nan,nan,nan,13,112.8,1,2
82,9,122,4,3,12,120.641,5,2,nan,nan,nan,nan,7,112.8,1,2
83,4,124,4,2,6,123.506,5,3,nan,nan,nan,nan,1,112.8,1,2
101,58,120,2,nan,60,129.072,5,nan,nan,nan,nan,nan,60,123,1,nan
102,53,133,3,nan,59,158.557,8,nan,nan,nan,nan,nan,59,151.3,6,nan
103,47,135,2,11,53,152.294,7,5,nan,nan,nan,nan,53,151.3,6,5
104,49,138,10,4,47,145.375,7,4,49,122,3,3,47,151.3,6,5
105,42,158,9,5,41,146.158,8,5,43,124.7,4,4,41,151.3,6,5
106,37,176,10,5,36,149.534,9,7,38,127.5,4,3,35,151.3,6,5
107,30,170,9,5,30,163.001,9,6,30,127.5,3,4,29,151.3,6,5
108,25,153,9,4,25,158.202,10,6,24,128.8,5,4,23,151.3,6,5
109,19,152,10,4,19,152.343,9,5,17,127.7,5,4,17,151.3,6,5
110,11,155,9,6,13,136.022,8,4,11,123,4,3,11,151.3,6,5
111,6,156,nan,5,7,125.968,nan,4,5,126.1,4,4,5,151.3,nan,5
112,2,154,nan,3,1,132.336,nan,4,0,124.5,nan,4,0,150.5,nan,4
164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60,116.2,2,nan
165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54,116.2,2,2
166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,116.2,2,2
167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42,116.2,2,2
168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36,116.2,2,2
169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30,116.2,2,2
170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,116.2,2,2
171,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,116.2,2,2
172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,116.2,2,2
173,nan,nan,nan,nan,nan,nan,nan,nan,7,113.3,2,5,6,116.2,2,2
174,nan,nan,nan,nan,nan,nan,nan,nan,1,112.8,nan,2,0,116.2,nan,2
204,60,170,4,nan,60,120.996,2,nan,nan,nan,nan,nan,60,150.7,2,nan
205,57,165,6,nan,60,170.881,9,nan,60,135.5,7,nan,58,183.9,6,nan
206,50,191,5,8,55,184.442,10,nan,53,146.1,6,7,52,183.9,6,7
207,44,190,5,9,50,172.165,8,5,48,139.1,6,7,46,183.9,6,7
208,39,216,7,8,42,186.897,7,6,40,154.5,5,9,40,183.9,6,7
209,33,214,8,8,35,205.339,10,7,36,166.3,8,6,34,183.9,6,7
210,28,206,10,7,30,196.342,11,7,29,166.5,8,7,28,183.9,6,7
211,22,208,9,7,24,184.834,9,7,23,167.6,7,7,22,183.9,6,7
212,17,218,11,6,19,176.694,9,6,17,176.3,8,8,16,183.9,6,7
213,9,234,8,9,12,191.295,9,6,10,189,7,8,10,183.9,6,7
214,3,232,nan,9,6,191.618,nan,7,5,197.7,nan,8,4,183.9,nan,7
215,0,178,nan,6,0,180.819,nan,6,0,189.3,nan,7,0,177.5,nan,5
241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57,110.5,1,1
242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51,110.5,1,1
243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45,110.5,1,1
244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39,110.5,1,1
245,32,116,2,2,nan,nan,nan,nan,nan,nan,nan,nan,33,110.5,1,1
246,28,125,2,2,24,110.318,1,1,28,112.6,1,2,27,110.5,1,1
247,21,132,4,3,nan,nan,nan,nan,22,115.1,3,2,21,110.5,1,1
248,15,114,1,1,nan,nan,nan,nan,16,113.9,2,1,15,110.5,1,1
248,60,142,2,nan,58,139.73,5,nan,60,132.8,2,nan,60,114.3,1,nan
249,9,124,2,3,nan,nan,nan,nan,10,121.6,3,2,9,110.5,1,1
249,54,144,3,4,52,126.41,3,5,54,132.3,4,4,56,117.4,3,2
250,3,111,1,1,nan,nan,nan,nan,4,122,3,2,3,110.5,1,1
250,46,146,3,6,43,122.709,3,3,49,124.3,2,3,50,117.4,3,2
