nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,48,217,4,3,43,145.567,1,2,48,182.4,4,3,48,180.9,2,1
29,42,226,7,2,nan,nan,nan,nan,42,184.4,4,3,42,180.9,2,1
30,36,228,5,2,34,140.769,2,1,37,173.1,4,3,36,180.9,2,1
31,30,193,4,3,28,155.316,2,2,31,146.9,1,1,30,180.9,2,1
32,25,244,5,2,23,147.157,2,2,24,175.9,3,2,24,180.9,2,1
33,18,214,3,2,nan,nan,nan,nan,17,170.1,2,2,18,180.9,2,1
34,12,193,3,2,nan,nan,nan,nan,11,162.9,2,2,12,180.9,2,1
35,6,203,2,2,nan,nan,nan,nan,5,160.7,2,2,6,180.9,2,1
36,0,185,nan,2,nan,nan,nan,nan,0,160.5,nan,1,0,180.9,nan,1
102,nan,nan,nan,nan,59,158.557,3,nan,nan,nan,nan,nan,59,151.3,2,nan
103,nan,nan,nan,nan,53,152.294,2,3,nan,nan,nan,nan,53,151.3,2,3
104,nan,nan,nan,nan,47,145.375,2,2,nan,nan,nan,nan,47,151.3,2,3
105,42,158,4,3,41,146.158,2,2,nan,nan,nan,nan,41,151.3,2,3
106,37,176,6,3,36,149.534,3,3,nan,nan,nan,nan,35,151.3,2,3
107,30,170,4,3,30,163.001,4,4,nan,nan,nan,nan,29,151.3,2,3
108,25,153,6,2,25,158.202,5,3,nan,nan,nan,nan,23,151.3,2,3
109,19,152,6,2,19,152.343,4,2,nan,nan,nan,nan,17,151.3,2,3
110,11,155,4,3,nan,nan,nan,nan,nan,nan,nan,nan,11,151.3,2,3
111,6,156,4,4,nan,nan,nan,nan,nan,nan,nan,nan,5,151.3,2,3
112,2,154,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,0,150.5,nan,2
204,60,170,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,60,150.7,1,nan
205,57,165,3,nan,60,170.881,5,nan,nan,nan,nan,nan,58,183.9,5,nan
206,50,191,4,7,55,184.442,6,4,53,146.1,3,4,52,183.9,5,6
207,44,190,3,8,50,172.165,5,4,nan,nan,nan,nan,46,183.9,5,6
208,39,216,4,6,42,186.897,5,5,40,154.5,2,5,40,183.9,5,6
209,33,214,4,6,35,205.339,6,6,36,166.3,5,4,34,183.9,5,6
210,28,206,5,5,30,196.342,6,5,29,166.5,5,4,28,183.9,5,6
211,22,208,5,5,24,184.834,5,5,23,167.6,4,4,22,183.9,5,6
212,17,218,7,5,19,176.694,5,4,17,176.3,5,5,16,183.9,5,6
213,9,234,5,7,12,191.295,5,5,10,189,4,6,10,183.9,5,6
214,3,232,nan,8,6,191.618,6,5,5,197.7,5,6,4,183.9,nan,6
215,0,178,nan,5,0,180.819,nan,4,0,189.3,nan,5,0,177.5,nan,4
