nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,48,217,4,3,nan,nan,nan,nan,48,182.4,3,3,48,180.9,2,1
29,42,226,6,2,nan,nan,nan,nan,42,184.4,4,2,42,180.9,2,1
30,36,228,4,2,nan,nan,nan,nan,37,173.1,3,2,36,180.9,2,1
31,30,193,3,2,28,155.316,1,2,nan,nan,nan,nan,30,180.9,2,1
32,25,244,4,2,nan,nan,nan,nan,24,175.9,2,2,24,180.9,2,1
33,18,214,2,2,nan,nan,nan,nan,17,170.1,1,2,18,180.9,2,1
34,12,193,2,2,nan,nan,nan,nan,11,162.9,1,2,12,180.9,2,1
35,6,203,2,2,nan,nan,nan,nan,5,160.7,1,2,6,180.9,2,1
36,0,185,nan,1,nan,nan,nan,nan,0,160.5,nan,1,0,180.9,nan,1
102,nan,nan,nan,nan,59,158.557,2,nan,nan,nan,nan,nan,59,151.3,1,nan
103,nan,nan,nan,nan,53,152.294,1,2,nan,nan,nan,nan,53,151.3,1,2
104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47,151.3,1,2
105,42,158,2,2,nan,nan,nan,nan,nan,nan,nan,nan,41,151.3,1,2
106,37,176,4,2,nan,nan,nan,nan,nan,nan,nan,nan,35,151.3,1,2
107,30,170,3,3,30,163.001,3,3,nan,nan,nan,nan,29,151.3,1,2
108,25,153,3,1,25,158.202,3,2,nan,nan,nan,nan,23,151.3,1,2
109,19,152,2,1,19,152.343,2,1,nan,nan,nan,nan,17,151.3,1,2
110,11,155,3,2,nan,nan,nan,nan,nan,nan,nan,nan,11,151.3,1,2
111,6,156,4,3,nan,nan,nan,nan,nan,nan,nan,nan,5,151.3,1,2
112,2,154,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,0,150.5,nan,1
204,60,170,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,60,150.7,1,nan
205,57,165,3,3,60,170.881,4,nan,nan,nan,nan,nan,58,183.9,5,nan
206,50,191,3,7,55,184.442,5,4,nan,nan,nan,nan,52,183.9,5,5
207,44,190,2,7,50,172.165,4,3,nan,nan,nan,nan,46,183.9,5,5
208,39,216,4,6,42,186.897,4,4,40,154.5,2,3,40,183.9,5,5
209,33,214,4,6,35,205.339,5,5,36,166.3,5,2,34,183.9,5,5
210,28,206,4,4,30,196.342,5,5,29,166.5,4,3,28,183.9,5,5
211,22,208,5,5,24,184.834,4,5,23,167.6,3,3,22,183.9,5,5
212,17,218,6,4,19,176.694,4,4,17,176.3,4,4,16,183.9,5,5
213,9,234,4,7,12,191.295,4,5,10,189,4,6,10,183.9,5,5
214,3,232,nan,8,6,191.618,5,5,5,197.7,5,5,4,183.9,nan,5
215,0,178,nan,4,0,180.819,nan,4,0,189.3,nan,4,0,177.5,nan,3
