FC_N,T_BSM-WOWC-HIRLAM,H_BSM-WOWC-HIRLAM,L_BSM-WOWC-HIRLAM,R_BSM-WOWC-HIRLAM,T_BALTP-90M-GFS,H_BALTP-90M-GFS,L_BALTP-90M-GFS,R_BALTP-90M-GFS,T_HIROMB,H_HIROMB,L_HIROMB,R_HIROMB,T_M,H_M,L_M,R_M
28,48,217,12,10,43,145.5672,7,5,48,182.4,12,12,48,180.9,11,4
29,42,226,12,5,37,107.1768,8,3,42,184.4,11,12,42,180.9,11,4
30,36,228,11,15,34,140.7688,10,19,37,173.1,12,12,36,180.9,11,4
31,30,193,12,6,28,155.316,10,20,31,146.9,12,11,30,180.9,11,4
32,25,244,12,4,23,147.1568,11,18,24,175.9,11,13,24,180.9,11,4
33,18,214,12,5,17,119.7072,11,18,17,170.1,10,13,18,180.9,11,4
34,12,193,11,12,11,110.1576,11,18,11,162.9,10,13,12,180.9,11,4
35,6,203,6,4,5,121.6784,5,17,5,160.7,5,13,6,180.9,6,4
36,0,185,NaN,4,0,139.0704,NaN,15,0,160.5,NaN,12,0,180.9,NaN,10
73,58,101,8,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,110,9,NaN
74,58,115,13,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,112.8,10,5
75,53,141,13,7,54,113.8344,15,6,54,107.2,16,6,49,112.8,10,11
76,44,125,10,16,50,108.3088,17,10,NaN,NaN,NaN,NaN,43,112.8,10,16
77,40,127,13,7,42,142.6064,15,14,40,100.3,14,13,37,112.8,10,16
78,34,120,3,4,36,138.0032,15,14,NaN,NaN,NaN,NaN,31,112.8,10,16
79,25,125,9,14,30,123.0736,15,13,NaN,NaN,NaN,NaN,25,112.8,10,16
80,20,120,11,15,24,121.7992,15,13,NaN,NaN,NaN,NaN,19,112.8,10,16
81,14,124,11,15,18,114.8096,15,13,NaN,NaN,NaN,NaN,13,112.8,10,16
82,9,122,9,14,12,120.6408,12,13,NaN,NaN,NaN,NaN,7,112.8,7,16
83,4,124,4,13,6,123.5064,6,13,NaN,NaN,NaN,NaN,1,112.8,1,16
97,60,109,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,108.4,13,3
98,53,103,17,7,54,100.64,24,6,NaN,NaN,NaN,NaN,51,108.4,13,9
99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,108.4,13,15
100,40,106,16,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39,108.4,13,17
101,58,120,12,2,60,129.072,13,NaN,NaN,NaN,NaN,NaN,60,123,10,NaN
102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,108.4,13,17
102,53,133,13,3,59,158.5568,16,1,NaN,NaN,NaN,NaN,59,151.3,15,1
103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,108.4,13,17
103,47,135,12,13,53,152.2944,19,7,55,102,14,5,53,151.3,15,7
104,16,104,16,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,108.4,13,17
104,49,138,5,11,47,145.3752,16,13,49,122,15,11,47,151.3,15,13
105,9,104,8,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,108.4,9,17
105,42,158,15,15,41,146.1576,18,16,43,124.7,15,16,41,151.3,15,19
106,3,107,3,18,5,100.5344,5,12,NaN,NaN,NaN,NaN,3,108.4,3,17
106,37,176,16,13,36,149.5344,19,20,38,127.5,15,18,35,151.3,15,19
107,30,170,15,14,30,163.0008,18,18,30,127.5,14,20,29,151.3,15,19
108,25,153,17,13,25,158.2024,20,16,24,128.8,16,20,23,151.3,15,19
109,19,152,16,17,19,152.3432,19,17,17,127.7,15,19,17,151.3,15,19
110,11,155,11,14,13,136.0224,13,18,11,123,11,18,11,151.3,11,19
111,6,156,6,14,7,125.968,7,18,5,126.1,5,18,5,151.3,5,19
112,2,154,2,13,1,132.336,1,18,0,124.5,NaN,18,0,150.5,NaN,18
141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,103.7,26,NaN
142,54,124,12,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,103.7,26,6
143,48,126,14,11,NaN,NaN,NaN,NaN,49,110.8,32,11,48,103.7,26,10
144,41,122,30,12,NaN,NaN,NaN,NaN,42,114.3,26,12,42,103.7,26,10
145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,105.8,27,10,36,103.7,26,10
146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,100.2,26,10,30,103.7,26,10
147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,103.7,24,10
148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,103.7,18,10
149,11,109,11,10,NaN,NaN,NaN,NaN,12,100.2,12,10,12,103.7,12,10
150,5,114,5,11,NaN,NaN,NaN,NaN,6,103.1,6,10,6,103.7,6,10
